grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,curso_id,curso_busca,cidade_busca,uf_busca,cidade_filtro,universidade_nome,campus_nome,campus_id,nome,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
Bacharelado,Integral,"9715,61",2,5,6,10,1002328574024,Medicina,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Cidade de São Paulo - UNICID,UNIVERSIDADE CIDADE DE SÃO PAULO - UNICID - SEDE - Tatuapé,1002328,Medicina,"739,62","738,08","738,96","718,64"
Bacharelado,Integral,9650,8,15,,,65781564964,Medicina,Presidente Prudente,SP,MzUwODAzNjQxNDA2,Universidade do Oeste Paulista - UNOESTE,CAMPUS I  SEDE ADMINISTRATIVA PRESIDENTE PRUDENTE - Cidade Universitária,657815,Medicina,"738,92","728,86",,
Bacharelado,Integral,9564,3,5,,,65788486984,Medicina,Marilia,SP,MzUwOTAzODI5MDA1,Universidade de Marília - UNIMAR,UNIDADE SEDE - Campus Universitario,657884,Medicina,"744,16",735,,
Bacharelado,Integral,8600,2,9,,,65881713994834,Medicina,Rio Claro,SP,MzUwNjAyNjQzOTA3,Claretiano - Faculdade - Claretianorc - CLARETIANORC,CLARETIANO - FACULDADE - Cidade Claret,658817,Medicina,"734,44","720,86",,
Bacharelado,Integral,8200,2,3,4,7,105596711902804,Medicina,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Faculdade das Américas - FAM,RUA AUGUSTA - Consolação,1055967,Medicina,"735,84","724,7","738,42","723,28"
Bacharelado,Integral,8200,6,10,,,25031009564,Medicina,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Anhembi Morumbi - UAM,CAMPUS MOOCA - Brás,2503,Medicina,"744,72","728,54",,
Bacharelado,Integral,8125,5,8,,,256016294,Medicina,Campinas,SP,MzUwNzAzMjA5NTAy,Pontifícia Universidade Católica de Campinas - PUC-CAMPINAS,CAMPUS II - Jardim Ipaussurama,2560,Medicina,"760,32","748,98",,
Bacharelado,Integral,7990,2,4,,,107783113635364,Medicina,Sao Jose dos Campos,SP,MzUxMzA1MDQ5OTA0,Faculdade de Ciências Médicas de São José dos Campos,FACULDADE DE CIÊNCIAS MÉDICAS DE SÃO JOSÉ DOS CAMPOS - HUMANITAS - Putim,1077831,Medicina,"745,3","733,42",,
Bacharelado,Integral,7928,3,5,,,706703822244,Medicina,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Nove de Julho - UNINOVE,UNIDADE VERGUEIRO SEDE - Liberdade,706703,Medicina,"740,92","726,96",,
Bacharelado,Integral,"7832,7",2,3,,8,2457651144,Medicina,Fernandopolis,SP,MzUwMTAwMjE1NTA5,Universidade Brasil,CAMPUS VII - FERNANDÓPOLIS - Faz Sta Rita,2457,Medicina,"736,04","721,54","736,58",
Bacharelado,Integral,7755,2,4,,,65836311859034,Medicina,Ribeirao Preto,SP,MzUwMjAxNDQzNDAy,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,RIBEIRANIA - Ribeirânia,658363,Medicina,"743,54","726,7",,
Bacharelado,Integral,"7455,5",,,3,5,657741198504,Medicina,Ribeirao Preto,SP,MzUwMjAxNDQzNDAy,Centro Universitário Barão de Mauá - Cbm - CBM,UNIDADE CENTRAL - Jardim Paulista,657741,Medicina,,,"752,8","726,1"
Bacharelado,Integral,"7434,24",2,5,,,657950105914,Medicina,Mogi das Cruzes,SP,MzUxNTA2MjMwNjA3,Universidade de Mogi das Cruzes - UMC,CAMPUS CENTRO CÍVICO - Centro Cívico,657950,Medicina,"735,78","697,22",,
Bacharelado,Integral,7389,2,5,,,133011365094,Medicina,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Faculdade Santa Marcelina - FASM,UNIDADE ITAQUERA - Itaquera,1330,Medicina,"763,1","731,78",,
Bacharelado,Integral,"7216,79",2,3,4,8,65793650009334,Medicina,Franca,SP,MzUwMjAxMjE2MjAw,Universidade de Franca - UNIFRAN,POLO NA SEDE - Parque Universitário,657936,Medicina,"744,88","730,88","741,36","721,08"
Bacharelado,Integral,"7065,29",2,4,,,692496184474,Medicina,Ribeirao Preto,SP,MzUwMjAxNDQzNDAy,Universidade de Ribeirão Preto - UNAERP,RIBEIRÃO PRETO (SEDE) - RIBEIRÂNIA,692496,Medicina,"749,8","736,78",,
Bacharelado,Integral,6984,3,5,,,1793112334,Medicina,Sorocaba,SP,MzUxMjA0NjUyMjA1,Pontifícia Universidade Católica de São Paulo - PUCSP,SOROCABA - CAMPUS SOROCABA - Centro,1793,Medicina,"763,16","751,7",,
Bacharelado,Integral,"6680,66",3,7,,,6580651009584,Medicina,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Centro Universitário São Camilo - SAO CAMILO,CAMPUS  - SÃO PAULO - IPIRANGA - Ipiranga,658065,Medicina,"749,46","729,16",,
Bacharelado,Integral,"6265,35",3,7,,,134687102224,Medicina,Catanduva,SP,MzUwMTAwNTExMTAy,Faculdades Integradas Padre Albino - FIPA,CAMPUS SEDE - Parque Iracema,134687,Medicina,747,"733,82",,
Bacharelado,Integral,6020,6,10,,,68638759204,Medicina,Santos,SP,MzUxNTA2MzQ4NTAw,Centro Universitário Lusíada - UNILUS,CAMPUS II - BOQUEIRÃO,686387,Medicina,"734,46","723,84",,
Bacharelado,Integral,"5926,1",2,3,,,658022154754,Medicina,Braganca Paulista,SP,MzUxMjA0ODA3NjA1,Universidade São Francisco - USF,CAMPUS BRAGANÇA PAULISTA - SEDE - Jardim São José,658022,Medicina,"742,92","729,34",,
Bacharelado,Integral,5891,0,1,,,657735879414,Medicina,Araraquara,SP,MzUwNTAyNDAzMjA4,Universidade de Araraquara - UNIARA,UNIDADE SEDE - Centro,657735,Medicina,"748,56",,,
Bacharelado,Noturno,"5605,2",,,,1,65975011358973,Engenharia Mecânica,Roseira,SP,MzUxMzA1MTQ0MzAx,Faculdade de Roseira - FARO,CAMPUS - ROSEIRA - ROSEIRA VELHA - Roseira Velha,659750,Engenharia Mecânica,,,"627,12",
Bacharelado,Noturno,"5605,2",0,1,,1,65975012006563,Engenharia Civil,Roseira,SP,MzUxMzA1MTQ0MzAx,Faculdade de Roseira - FARO,CAMPUS - ROSEIRA - ROSEIRA VELHA - Roseira Velha,659750,Engenharia Civil,"608,82",,"620,68",
Bacharelado,Noturno,"5367,6",0,1,,,65975013650153,Arquitetura e Urbanismo,Roseira,SP,MzUxMzA1MTQ0MzAx,Faculdade de Roseira - FARO,CAMPUS - ROSEIRA - ROSEIRA VELHA - Roseira Velha,659750,Arquitetura e Urbanismo,"592,1",,,
Bacharelado,Noturno,"5324,4",,,1,1,6597501170563,Engenharia Ambiental e Sanitária,Roseira,SP,MzUxMzA1MTQ0MzAx,Faculdade de Roseira - FARO,CAMPUS - ROSEIRA - ROSEIRA VELHA - Roseira Velha,659750,Engenharia Ambiental e Sanitária,,,"590,98","562,82"
Bacharelado,Integral,3851,1,1,,,658483207514,Administração,Campinas,SP,MzUwNzAzMjA5NTAy,Faculdade de Administração de Empresas - FACAMP,CAMPUS  - CAMPINAS - BARÃO GERALDO - Barão Geraldo,658483,Administração,"537,02","602,54",,
Bacharelado,Integral,3851,1,1,,,658483961124,Engenharia de Produção,Campinas,SP,MzUwNzAzMjA5NTAy,Faculdade de Administração de Empresas - FACAMP,CAMPUS  - CAMPINAS - BARÃO GERALDO - Barão Geraldo,658483,Engenharia de Produção,"620,02","601,34",,
Bacharelado,Integral,3851,0,2,,,65848312598264,Engenharia Mecânica,Campinas,SP,MzUwNzAzMjA5NTAy,Faculdade de Administração de Empresas - FACAMP,CAMPUS  - CAMPINAS - BARÃO GERALDO - Barão Geraldo,658483,Engenharia Mecânica,"632,4",,,
Bacharelado,Integral,3851,0,2,,,65848312043004,Engenharia de Computação,Campinas,SP,MzUwNzAzMjA5NTAy,Faculdade de Administração de Empresas - FACAMP,CAMPUS  - CAMPINAS - BARÃO GERALDO - Barão Geraldo,658483,Engenharia de Computação,"688,32",,,
Bacharelado,Integral,3851,2,3,,,658484570164,Relações Internacionais,Campinas,SP,MzUwNzAzMjA5NTAy,Faculdade de Ciências Econômicas - FACAMP,UNIDADE SEDE - Barão Geraldo,658484,Relações Internacionais,"694,04","671,36",,
Bacharelado,Integral,3851,3,5,,,658484484974,Direito,Campinas,SP,MzUwNzAzMjA5NTAy,Faculdade de Ciências Econômicas - FACAMP,UNIDADE SEDE - Barão Geraldo,658484,Direito,"657,9","621,3",,
Bacharelado,Integral,3851,1,2,,,658484570184,Comunicação Social - Publicidade e Propaganda,Campinas,SP,MzUwNzAzMjA5NTAy,Faculdade de Ciências Econômicas - FACAMP,UNIDADE SEDE - Barão Geraldo,658484,Comunicação Social - Publicidade e Propaganda,"619,96",450,,
Bacharelado,Integral,3851,2,3,,,658484207524,Ciências Econômicas,Campinas,SP,MzUwNzAzMjA5NTAy,Faculdade de Ciências Econômicas - FACAMP,UNIDADE SEDE - Barão Geraldo,658484,Ciências Econômicas,"690,6","646,28",,
Bacharelado,Integral,3795,1,2,,,256016314,Odontologia,Campinas,SP,MzUwNzAzMjA5NTAy,Pontifícia Universidade Católica de Campinas - PUC-CAMPINAS,CAMPUS II - Jardim Ipaussurama,2560,Odontologia,"697,72","688,44",,
Bacharelado,Integral,"3361,05",2,3,,,657963112304,Psicologia,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - SEDE - CAMPUS MONTE ALEGRE - Perdizes,657963,Psicologia,"712,92","678,32",,
Bacharelado,Matutino,"3036,1",19,35,,,657963112211,Direito,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - SEDE - CAMPUS MONTE ALEGRE - Perdizes,657963,Direito,"696,92","681,7",,
Bacharelado,Noturno,"3036,1",6,10,,,657963112213,Direito,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - SEDE - CAMPUS MONTE ALEGRE - Perdizes,657963,Direito,"692,46","678,94",,
Bacharelado,Integral,3001,8,14,,,65768116344,Arquitetura e Urbanismo,Campinas,SP,MzUwNzAzMjA5NTAy,Pontifícia Universidade Católica de Campinas - PUC-CAMPINAS,UNIDADE SEDE - Parque das Universidades,657681,Arquitetura e Urbanismo,"674,3",654,,
Bacharelado,Matutino,"2997,3",3,7,,,657963112421,Relações Internacionais,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - SEDE - CAMPUS MONTE ALEGRE - Perdizes,657963,Relações Internacionais,"703,96","686,36",,
Bacharelado,Noturno,"2997,3",2,4,,,657963112423,Relações Internacionais,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - SEDE - CAMPUS MONTE ALEGRE - Perdizes,657963,Relações Internacionais,"700,02","670,66",,
Bacharelado,Matutino,2990,6,11,,,2503213511,Medicina Veterinária,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Anhembi Morumbi - UAM,CAMPUS MOOCA - Brás,2503,Medicina Veterinária,"678,7","648,56",,
Bacharelado,Matutino,2957,3,7,,,65768420161,Arquitetura e Urbanismo,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Presbiteriana Mackenzie - MACKENZIE,CAMPUS  - SÃO PAULO - CONSOLAÇÃO - Consolação,657684,Arquitetura e Urbanismo,"696,82","687,3",,
Bacharelado,Vespertino,2957,1,1,,,65768420162,Arquitetura e Urbanismo,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Presbiteriana Mackenzie - MACKENZIE,CAMPUS  - SÃO PAULO - CONSOLAÇÃO - Consolação,657684,Arquitetura e Urbanismo,"731,12","733,2",,
Bacharelado,Noturno,2957,6,10,,,65768420163,Arquitetura e Urbanismo,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Presbiteriana Mackenzie - MACKENZIE,CAMPUS  - SÃO PAULO - CONSOLAÇÃO - Consolação,657684,Arquitetura e Urbanismo,"693,16","666,12",,
Bacharelado,Noturno,"2873,33",0,1,,,65781564833,Odontologia,Presidente Prudente,SP,MzUwODAzNjQxNDA2,Universidade do Oeste Paulista - UNOESTE,CAMPUS I  SEDE ADMINISTRATIVA PRESIDENTE PRUDENTE - Cidade Universitária,657815,Odontologia,"678,94",,,
Bacharelado,Integral,"2873,33",2,4,,,65781564834,Odontologia,Presidente Prudente,SP,MzUwODAzNjQxNDA2,Universidade do Oeste Paulista - UNOESTE,CAMPUS I  SEDE ADMINISTRATIVA PRESIDENTE PRUDENTE - Cidade Universitária,657815,Odontologia,"669,3","584,52",,
Bacharelado,Noturno,2748,1,3,,,657684623783,Engenharia de Produção,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Presbiteriana Mackenzie - MACKENZIE,CAMPUS  - SÃO PAULO - CONSOLAÇÃO - Consolação,657684,Engenharia de Produção,"698,04","676,06",,
Bacharelado,Integral,2748,0,1,,,657684623784,Engenharia de Produção,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Presbiteriana Mackenzie - MACKENZIE,CAMPUS  - SÃO PAULO - CONSOLAÇÃO - Consolação,657684,Engenharia de Produção,"709,24",,,
Bacharelado,Matutino,2726,0,10,,,256016441,Fonoaudiologia,Campinas,SP,MzUwNzAzMjA5NTAy,Pontifícia Universidade Católica de Campinas - PUC-CAMPINAS,CAMPUS II - Jardim Ipaussurama,2560,Fonoaudiologia,"632,64",,,
Bacharelado,Integral,2666,0,1,,,256013748464,Medicina Veterinária,Campinas,SP,MzUwNzAzMjA5NTAy,Pontifícia Universidade Católica de Campinas - PUC-CAMPINAS,CAMPUS II - Jardim Ipaussurama,2560,Medicina Veterinária,"698,16",,,
Bacharelado,Integral,2614,0,1,,,256016304,Nutrição,Campinas,SP,MzUwNzAzMjA5NTAy,Pontifícia Universidade Católica de Campinas - PUC-CAMPINAS,CAMPUS II - Jardim Ipaussurama,2560,Nutrição,"670,74",,,
Bacharelado,Noturno,"2609,3",2,3,,,657963112373,Ciências Atuariais,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - SEDE - CAMPUS MONTE ALEGRE - Perdizes,657963,Ciências Atuariais,"658,02","652,98",,
Bacharelado,Matutino,"2589,9",3,5,,,657963505001,Comunicação Social - Publicidade e Propaganda,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - SEDE - CAMPUS MONTE ALEGRE - Perdizes,657963,Comunicação Social - Publicidade e Propaganda,"657,44","640,54",,
Bacharelado,Vespertino,"2585,05",1,3,,,657963216942,Comunicação e Multimeios,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - SEDE - CAMPUS MONTE ALEGRE - Perdizes,657963,Comunicação e Multimeios,"666,7","641,08",,
Bacharelado,Matutino,"2580,2",7,13,,,657963112201,Ciências Econômicas,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - SEDE - CAMPUS MONTE ALEGRE - Perdizes,657963,Ciências Econômicas,"670,44","651,34",,
Bacharelado,Noturno,"2580,2",7,14,,,657963112203,Ciências Econômicas,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - SEDE - CAMPUS MONTE ALEGRE - Perdizes,657963,Ciências Econômicas,"671,02","658,72",,
Bacharelado,Integral,"2572,91",1,2,,2,65957235274,Odontologia,Barretos,SP,MzUwMjAwOTA1NTAw,Centro Universitário da Fundação Educacional de Barretos - Unifeb - UNIFEB,CAMPUS  - BARRETOS - AEROPORTO/MARIETA - Aeroporto,659572,Odontologia,"648,64","662,62","618,84",
Bacharelado,Noturno,"2560,8",2,4,,,179414197923,Engenharia Eletrônica,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - CAMPUS CONSOLAÇÃO - Consolação,1794,Engenharia Eletrônica,"682,94","640,74",,
Bacharelado,Matutino,"2560,8",2,4,,,179414197931,Engenharia Mecânica,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - CAMPUS CONSOLAÇÃO - Consolação,1794,Engenharia Mecânica,"697,2","675,26",,
Bacharelado,Noturno,"2536,55",1,2,,,657963112193,Ciências Contábeis,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - SEDE - CAMPUS MONTE ALEGRE - Perdizes,657963,Ciências Contábeis,"659,66","667,36",,
Bacharelado,Noturno,2526,2,5,,,657684418843,Engenharia de Materiais,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Presbiteriana Mackenzie - MACKENZIE,CAMPUS  - SÃO PAULO - CONSOLAÇÃO - Consolação,657684,Engenharia de Materiais,"662,62","643,36",,
Bacharelado,Matutino,2522,8,15,,,657963112181,Administração,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - SEDE - CAMPUS MONTE ALEGRE - Perdizes,657963,Administração,"643,58","623,64",,
Bacharelado,Matutino,2522,1,2,,,657963112241,Ciências Sociais,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - SEDE - CAMPUS MONTE ALEGRE - Perdizes,657963,Ciências Sociais,"675,22","640,1",,
Bacharelado,Noturno,2522,1,1,,,657963112243,Ciências Sociais,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - SEDE - CAMPUS MONTE ALEGRE - Perdizes,657963,Ciências Sociais,"698,54","649,32",,
Bacharelado,Integral,2520,1,3,,,657684419134,Engenharia Elétrica,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Presbiteriana Mackenzie - MACKENZIE,CAMPUS  - SÃO PAULO - CONSOLAÇÃO - Consolação,657684,Engenharia Elétrica,"697,96","714,8",,
Bacharelado,Integral,2520,7,13,,,65768420244,Engenharia Mecânica,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Presbiteriana Mackenzie - MACKENZIE,CAMPUS  - SÃO PAULO - CONSOLAÇÃO - Consolação,657684,Engenharia Mecânica,"671,88","663,74",,
Bacharelado,Integral,2517,12,23,,,65768420234,Engenharia Civil,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Presbiteriana Mackenzie - MACKENZIE,CAMPUS  - SÃO PAULO - CONSOLAÇÃO - Consolação,657684,Engenharia Civil,"679,12","675,54",,
Bacharelado,Matutino,2516,0,1,,,100020811694231,Medicina Veterinária,Sorocaba,SP,MzUxMjA0NjUyMjA1,Universidade de Sorocaba - UNISO,CIDADE UNIVERSITÁRIA - Jardim Novo Eldorado,1000208,Medicina Veterinária,"695,62",,,
Bacharelado,Matutino,2500,0,1,,,65777914210051,Comunicação Social - Cinema,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade São Judas Tadeu - USJT,UNIDADE SEDE - Mooca,657779,Comunicação Social - Cinema,"656,4",,,
Bacharelado,Noturno,2500,0,1,,,65777914210053,Comunicação Social - Cinema,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade São Judas Tadeu - USJT,UNIDADE SEDE - Mooca,657779,Comunicação Social - Cinema,"705,04",,,
Bacharelado,Integral,2477,1,1,,,100020813219664,Odontologia,Sorocaba,SP,MzUxMjA0NjUyMjA1,Universidade de Sorocaba - UNISO,CIDADE UNIVERSITÁRIA - Jardim Novo Eldorado,1000208,Odontologia,"641,26","641,98",,
Bacharelado,Integral,2468,7,12,,,2560476624,Psicologia,Campinas,SP,MzUwNzAzMjA5NTAy,Pontifícia Universidade Católica de Campinas - PUC-CAMPINAS,CAMPUS II - Jardim Ipaussurama,2560,Psicologia,"669,72","643,9",,
Bacharelado,Noturno,"2463,29",1,2,,,69249656233,Odontologia,Ribeirao Preto,SP,MzUwMjAxNDQzNDAy,Universidade de Ribeirão Preto - UNAERP,RIBEIRÃO PRETO (SEDE) - RIBEIRÂNIA,692496,Odontologia,"661,68","678,84",,
Bacharelado,Integral,"2463,29",3,7,,,69249656234,Odontologia,Ribeirao Preto,SP,MzUwMjAxNDQzNDAy,Universidade de Ribeirão Preto - UNAERP,RIBEIRÃO PRETO (SEDE) - RIBEIRÂNIA,692496,Odontologia,"670,34","676,36",,
Bacharelado,Matutino,2448,0,1,,,65789189881,Moda,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Faculdade Santa Marcelina - FASM,UNIDADE SEDE - Perdizes,657891,Moda,"711,42",,,
Bacharelado,Noturno,2448,2,3,,,65789189883,Moda,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Faculdade Santa Marcelina - FASM,UNIDADE SEDE - Perdizes,657891,Moda,"661,56","637,38",,
Bacharelado,Integral,2419,3,6,,,65768111876814,Engenharia de Produção,Campinas,SP,MzUwNzAzMjA5NTAy,Pontifícia Universidade Católica de Campinas - PUC-CAMPINAS,UNIDADE SEDE - Parque das Universidades,657681,Engenharia de Produção,"655,3","628,52",,
Bacharelado,Noturno,"2415,3",12,22,,,657963112183,Administração,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Pontifícia Universidade Católica de São Paulo - PUCSP,SÃO PAULO - SEDE - CAMPUS MONTE ALEGRE - Perdizes,657963,Administração,"645,26","632,64",,
Bacharelado,Integral,2405,0,10,,,65768111695204,Engenharia Elétrica,Campinas,SP,MzUwNzAzMjA5NTAy,Pontifícia Universidade Católica de Campinas - PUC-CAMPINAS,UNIDADE SEDE - Parque das Universidades,657681,Engenharia Elétrica,"660,98",,,
Bacharelado,Vespertino,2390,5,9,,,2503213512,Medicina Veterinária,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Anhembi Morumbi - UAM,CAMPUS MOOCA - Brás,2503,Medicina Veterinária,"660,04","633,8",,
Bacharelado,Matutino,"2351,83",2,5,,,65783772781,Medicina Veterinária,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Paulista - UNIP,CAMPUS INDIANÓPOLIS - Mirandópolis,657837,Medicina Veterinária,"669,38","654,72",,
Bacharelado,Vespertino,2338,6,12,,,657684418762,Jornalismo,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Presbiteriana Mackenzie - MACKENZIE,CAMPUS  - SÃO PAULO - CONSOLAÇÃO - Consolação,657684,Jornalismo,"668,86","646,46",,
Bacharelado,Integral,"2337,71",2,3,,,65774044154,Odontologia,Bauru,SP,MzUwNDAyMDA2MDAz,Universidade do Sagrado Coração - USC,CAMPUS - BAURU - JARDIM BRASIL - Jardim Brasil,657740,Odontologia,"680,82","651,5",,
Bacharelado,Matutino,2336,8,15,,,657684261011,Psicologia,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Presbiteriana Mackenzie - MACKENZIE,CAMPUS  - SÃO PAULO - CONSOLAÇÃO - Consolação,657684,Psicologia,"686,1","668,2",,
Bacharelado,Vespertino,2336,2,5,,,657684261012,Psicologia,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade Presbiteriana Mackenzie - MACKENZIE,CAMPUS  - SÃO PAULO - CONSOLAÇÃO - Consolação,657684,Psicologia,"673,84","665,38",,
Bacharelado,Matutino,2335,5,29,,,658838348721,Engenharia Química,Sao Bernardo do Campo,SP,MzUxNTA2MTQ4NzA4,Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros - Fei - FEI,UNIDADE SEDE - Assunção,658838,Engenharia Química,"645,92","644,3",,
Bacharelado,Matutino,2335,13,26,,,658838641121,Engenharia de Produção,Sao Bernardo do Campo,SP,MzUxNTA2MTQ4NzA4,Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros - Fei - FEI,UNIDADE SEDE - Assunção,658838,Engenharia de Produção,"618,74","607,5",,
Bacharelado,Matutino,2335,3,14,,,658838260231,Engenharia Elétrica,Sao Bernardo do Campo,SP,MzUxNTA2MTQ4NzA4,Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros - Fei - FEI,UNIDADE SEDE - Assunção,658838,Engenharia Elétrica,"639,04","622,2",,
Bacharelado,Matutino,2335,14,26,,,658838226071,Engenharia Mecânica,Sao Bernardo do Campo,SP,MzUxNTA2MTQ4NzA4,Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros - Fei - FEI,UNIDADE SEDE - Assunção,658838,Engenharia Mecânica,"633,38","622,1",,
Bacharelado,Matutino,2335,1,19,,,658838260211,Engenharia Mecânica,Sao Bernardo do Campo,SP,MzUxNTA2MTQ4NzA4,Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros - Fei - FEI,UNIDADE SEDE - Assunção,658838,Engenharia Mecânica,"618,6","587,54",,
Bacharelado,Matutino,2335,5,10,,,6588381183781,Engenharia de Automação e Controle,Sao Bernardo do Campo,SP,MzUxNTA2MTQ4NzA4,Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros - Fei - FEI,UNIDADE SEDE - Assunção,658838,Engenharia de Automação e Controle,"634,42","611,24",,
Bacharelado,Matutino,2335,1,3,,,658838640571,Engenharia de Materiais,Sao Bernardo do Campo,SP,MzUxNTA2MTQ4NzA4,Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros - Fei - FEI,UNIDADE SEDE - Assunção,658838,Engenharia de Materiais,"643,16","613,86",,
Bacharelado,Matutino,2335,11,21,,,658838349811,Engenharia Civil,Sao Bernardo do Campo,SP,MzUxNTA2MTQ4NzA4,Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros - Fei - FEI,UNIDADE SEDE - Assunção,658838,Engenharia Civil,"653,28","630,96",,
Bacharelado,Matutino,2335,0,1,,,658838349791,Engenharia,Sao Bernardo do Campo,SP,MzUxNTA2MTQ4NzA4,Centro Universitário da Fundação Educacional Inaciana Pe Sabóia de Medeiros - Fei - FEI,UNIDADE SEDE - Assunção,658838,Engenharia,"689,56",,,
Bacharelado,Matutino,"2327,67",1,2,,,6936791003801,Medicina Veterinária,Campinas,SP,MzUwNzAzMjA5NTAy,Universidade Paulista - UNIP,CAMPINAS I - JD. SWIFT,693679,Medicina Veterinária,"666,24","619,76",,
Bacharelado,Matutino,"2327,67",3,5,,,372734001,Medicina Veterinária,Sao Jose dos Campos,SP,MzUxMzA1MDQ5OTA0,Universidade Paulista - UNIP,SÃO JOSÉ DOS CAMPOS - Jardim Limoeiro,372,Medicina Veterinária,"681,84","625,1",,
Bacharelado,Matutino,2309,3,7,,,200017465831,Odontologia,Sao Jose dos Campos,SP,MzUxMzA1MDQ5OTA0,Universidade do Vale do Paraíba - UNIVAP,SÃO JOSÉ DOS CAMPOS (SEDE) - Urbanova,2000174,Odontologia,"655,94","636,46",,
Tecnológico,Vespertino,2299,1,1,1,3,659695725572,Gastronomia,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Centro Universitário Senac - SENACSP,SAO PAULO (SEDE) - Jurubatuba,659695,Gastronomia,"666,24","633,4","622,36","563,02"
